datetime,open,high,low,close,volume
2026-03-25,47.442,47.494,46.263,46.873,940022
2026-03-26,47.166,47.534,46.118,46.425,1823851
2026-03-27,46.491,47.231,46.467,46.916,1897622
2026-03-30,46.997,47.498,46.817,47.063,894424
2026-03-31,47.133,47.954,46.722,47.63,1466998
2026-04-01,47.487,47.901,46.634,47.232,396492
2026-04-02,47.334,47.552,46.19,46.429,1164924
2026-04-03,46.39,46.699,45.714,45.768,1000189
2026-04-06,45.62,45.851,45.309,45.478,1389274
2026-04-07,45.471,45.77,44.411,44.623,803457
2026-04-08,44.583,44.813,44.132,44.363,296231
2026-04-09,44.497,44.829,44.235,44.509,848067
2026-04-10,44.502,45.129,44.3,44.911,1748633
2026-04-13,44.816,44.841,44.366,44.613,1625244
2026-04-14,44.872,44.989,42.64,42.664,1755463
2026-04-15,42.833,43.063,42.314,42.36,1338557
2026-04-16,42.575,42.636,41.852,42.209,1022095
2026-04-17,42.312,43.249,42.084,42.763,1392265
2026-04-20,42.744,42.857,42.718,42.786,1594407
2026-04-21,42.714,42.816,41.547,41.665,1340119
2026-04-22,41.618,41.787,40.196,40.545,277086
2026-04-23,40.698,42.316,40.508,42.0,369190
2026-04-24,42.019,42.909,41.799,42.473,924579
2026-04-27,42.221,44.257,41.913,44.175,210884
2026-04-28,44.168,46.801,43.974,46.483,774968
2026-04-29,46.22,46.604,45.741,46.087,850602
2026-04-30,46.117,47.635,46.014,47.164,1468676
2026-05-01,46.937,48.624,46.65,48.57,1714474
2026-05-04,48.324,50.586,48.106,50.317,1051455
2026-05-05,50.341,52.245,50.325,52.24,1332521
2026-05-06,52.223,54.118,52.094,53.894,1460477
2026-05-07,53.536,55.654,53.068,55.55,1603573
2026-05-08,55.716,56.237,54.653,55.087,915704
2026-05-11,55.564,56.222,55.26,56.09,1282690
2026-05-12,55.758,56.206,55.7,56.157,409857
2026-05-13,56.565,57.163,56.25,57.045,1590237
2026-05-14,56.888,56.929,56.703,56.909,1375984
2026-05-15,56.797,58.154,56.746,57.862,1992712
2026-05-18,57.82,59.14,57.344,58.829,1819040
2026-05-19,58.489,59.063,58.311,58.933,1455262
2026-05-20,59.239,59.276,58.634,58.896,163093
2026-05-21,59.012,59.867,58.045,58.494,1737205
2026-05-22,58.318,58.466,57.32,57.403,1200564
2026-05-25,57.34,57.404,56.541,56.747,1948447
2026-05-26,56.403,57.097,55.3,55.806,673723
2026-05-27,55.728,56.116,55.726,56.112,1507142
2026-05-28,56.323,56.693,55.818,56.132,359919
2026-05-29,55.747,57.264,55.426,57.033,1644669
2026-06-01,56.933,57.241,55.078,55.713,924232
2026-06-02,55.746,57.426,55.025,57.255,249304
2026-06-03,57.495,57.608,56.748,56.796,1087813
2026-06-04,57.102,57.146,56.279,56.364,169137
2026-06-05,56.26,56.776,55.883,56.518,1000489
2026-06-08,56.35,56.537,56.033,56.07,1854463
2026-06-09,56.171,56.678,55.995,56.477,687387
2026-06-10,56.395,56.789,55.12,55.57,551657
2026-06-11,55.501,55.741,53.759,53.826,1243620
2026-06-12,54.059,54.244,52.016,52.143,680123
2026-06-15,52.495,53.379,52.335,52.734,417211
2026-06-16,52.79,52.966,51.616,51.675,356929
2026-06-17,51.635,52.097,48.771,49.177,491055
2026-06-18,49.29,49.679,47.435,47.965,1305629
2026-06-19,47.603,47.647,44.935,45.208,623857
2026-06-22,45.204,46.329,45.002,45.937,156405
2026-06-23,45.742,45.867,43.412,43.526,1880137
2026-06-24,43.942,44.119,43.169,43.276,1618271
2026-06-25,43.401,43.653,42.78,43.303,488371
2026-06-26,43.327,43.346,41.024,41.694,666929
2026-06-29,41.662,42.253,41.508,41.95,295018
2026-06-30,41.528,43.437,41.447,43.078,1513357
2026-07-01,43.201,44.194,43.046,43.916,1279958
2026-07-02,44.202,45.102,44.107,44.718,1830340
2026-07-03,44.588,46.378,44.544,46.329,153795
2026-07-06,46.456,47.373,46.127,47.213,1411582
2026-07-07,47.349,48.371,47.101,48.278,389367
2026-07-08,47.979,49.339,47.937,48.79,906652
2026-07-09,48.972,50.306,48.95,50.011,1646428
2026-07-10,50.282,50.822,49.345,49.366,1287293
2026-07-13,49.411,50.481,48.738,50.455,1998799
2026-07-14,50.443,50.485,49.882,49.959,1725032
2026-07-15,50.117,50.169,48.669,48.705,952597
2026-07-16,48.405,49.088,48.116,48.937,1451402
2026-07-17,48.955,51.03,48.851,50.588,1900662
2026-07-20,50.801,51.744,50.64,51.478,579287
2026-07-21,51.222,51.511,50.614,50.788,1937424
2026-07-22,50.989,51.712,50.942,51.598,114479
2026-07-23,51.511,51.698,51.165,51.287,1045736
2026-07-24,50.86,51.784,50.843,51.559,1771541
2026-07-27,51.537,52.532,50.956,52.298,1161036
2026-07-28,52.095,52.215,49.526,50.518,1284440
2026-07-29,50.583,51.959,49.882,51.749,1073567
2026-07-30,51.507,52.033,51.25,51.739,220646
2026-07-31,51.957,52.329,51.939,52.182,502156
2026-08-03,52.028,52.329,51.199,51.738,1146815
2026-08-04,51.812,51.851,50.788,51.18,871057
2026-08-05,51.058,51.199,50.643,51.128,1219132
2026-08-06,51.062,52.995,50.207,52.891,1465840
2026-08-07,53.143,55.549,53.04,55.463,657385
2026-08-10,55.511,55.8,55.222,55.727,486621
2026-08-11,55.639,57.689,55.591,57.058,1783456
2026-08-12,56.773,57.322,56.138,56.393,1240039
2026-08-13,56.655,56.922,53.446,53.488,555535
2026-08-14,53.645,53.828,52.118,52.878,1147568
2026-08-17,52.808,53.233,52.146,52.47,373298
2026-08-18,52.521,52.591,50.584,51.001,1490458
2026-08-19,50.791,50.803,50.291,50.374,687720
2026-08-20,50.17,50.345,49.685,50.115,1995049
2026-08-21,49.949,50.417,48.404,48.42,742934
2026-08-24,48.489,48.543,46.011,46.303,1699827
2026-08-25,46.358,46.69,45.539,45.684,1779738
2026-08-26,45.548,45.794,44.931,45.253,377471
2026-08-27,45.386,45.757,44.463,44.84,1348423
2026-08-28,44.98,46.198,44.557,45.888,757357
2026-08-31,45.92,48.031,45.497,47.82,331682
2026-09-01,48.019,48.164,47.452,47.577,1091595
2026-09-02,47.522,48.493,47.193,48.493,847968
2026-09-03,48.471,49.82,48.131,49.614,839148
2026-09-04,49.708,50.607,49.641,50.382,295240
2026-09-07,50.375,51.691,50.199,51.373,766630
2026-09-08,51.537,52.114,50.415,50.57,1440877
2026-09-09,50.316,51.211,49.883,50.844,708132
2026-09-10,51.133,52.748,51.074,52.41,1724402
2026-09-11,52.246,52.904,52.24,52.455,813077
2026-09-14,52.42,52.517,50.773,50.8,277643
2026-09-15,50.521,50.729,50.513,50.527,1663374
2026-09-16,50.649,51.645,50.587,51.036,1049790
2026-09-17,51.296,52.06,50.486,50.667,409197
2026-09-18,50.884,51.139,49.42,49.457,564771
